User,Games,language
NRG_Hamlinz,"['Just Chatting', 'Apex Legends', 'Fortnite', 'Grand Theft Auto V', 'Dead by Daylight']",English
Natsumiii,"['Just Chatting', 'VALORANT', 'Rust', 'Minecraft', 'League of Legends']",English
Nephtunie,"['Call of Duty: Warzone', 'ARK: Survival Evolved', 'Minecraft', 'Just Chatting', 'VALORANT']",Spanish
NiceWigg,"['Apex Legends', 'VALORANT', 'It Takes Two', 'Just Chatting', 'Minecraft']",English
NickEh30,"['Fortnite', 'Chess', 'Just Chatting', 'God of War', ""Marvel's Guardians of the Galaxy""]",English
Nihachu,"['Minecraft', 'Just Chatting', 'VALORANT', 'Art', 'Life is Strange: True Colors']",English
NimuVT,"['Just Chatting', 'Minecraft', ""I'm Only Sleeping"", '60 Seconds!', 'Resident Evil Village']",Spanish
Ninja,"['League of Legends', 'VALORANT', 'Final Fantasy XI', 'Apex Legends', 'Fortnite']",English
Nmplol,"['Just Chatting', 'Rust', 'FIFA 21', 'Apex Legends', 'It Takes Two']",English
Oscurlod,"['Just Chatting', 'FIFA 21', 'Chess', 'Grand Theft Auto V', 'Fortnite']",Spanish
PGL,['Counter-Strike: Global Offensive'],English
PRINCE__OFF,"['FIFA 21', 'FIFA 22', 'Just Chatting', ""Tom Clancy's Rainbow Six Siege"", 'Grand Theft Auto V']",French
PaymoneyWubby,"['Just Chatting', 'It Takes Two', 'Escape from Tarkov', 'A Way Out', 'Hivemind Gameshow']",English
Perxitaa,"['Grand Theft Auto V', 'Rust', 'Minecraft', 'Among Us', 'Just Chatting']",Spanish
Pestily,"['Escape From Tarkov', ""I'm Only Sleeping"", 'Just Chatting', 'Age of Empires II', 'Apex Legends']",English
Pewdiepie,[],English
Philza,"['Minecraft', 'Just Chatting', 'Rocket League', 'Halo 3: ODST', 'Knockout City']",English
PipePunk,"['Just Chatting', 'Fortnite', 'Minecraft', 'Rust', 'ROBLOX']",Spanish
