Source,Target,Weight,Type,Source Top Game,Target Top Game,Source Language,Target Language
agueppo,s1032204,11.0,Directed,Just Chatting,Just Chatting,Korean,Korean
agueppo,sah_yang,13.0,Directed,Just Chatting,Apex Legends,Korean,Korean
agueppo,snow_hite,10.0,Directed,Just Chatting,Just Chatting,Korean,Korean
agueppo,som0322,23.0,Directed,Just Chatting,Just Chatting,Korean,Korean
agueppo,wkgml,22.0,Directed,Just Chatting,Just Chatting,Korean,Korean
byeongbyeongbyeong,aba4647,5.0,Directed,Just Chatting,League of Legends,Korean,Korean
byeongbyeongbyeong,agueppo,9.0,Directed,Just Chatting,Just Chatting,Korean,Korean
byeongbyeongbyeong,baalzebb,12.0,Directed,Just Chatting,League of Legends,Korean,Korean
byeongbyeongbyeong,box930205,21.0,Directed,Just Chatting,Just Chatting,Korean,Korean
byeongbyeongbyeong,hm716,23.0,Directed,Just Chatting,League of Legends,Korean,Korean
byeongbyeongbyeong,jaewon4915,27.0,Directed,Just Chatting,Just Chatting,Korean,Korean
byeongbyeongbyeong,lck_korea,8.0,Directed,Just Chatting,League of Legends,Korean,Korean
byeongbyeongbyeong,liok0485,20.0,Directed,Just Chatting,League of Legends,Korean,Korean
byeongbyeongbyeong,paka9999,8.0,Directed,Just Chatting,League of Legends,Korean,Korean
byeongbyeongbyeong,qcnb123,15.0,Directed,Just Chatting,League of Legends,Korean,Korean
byeongbyeongbyeong,qq102qq,6.0,Directed,Just Chatting,League of Legends,Korean,Korean
byeongbyeongbyeong,tmxk319,14.0,Directed,Just Chatting,League of Legends,Korean,Korean
byeongbyeongbyeong,volibear_oyo,12.0,Directed,Just Chatting,Just Chatting,Korean,Korean
byeongbyeongbyeong,wyskah123,14.0,Directed,Just Chatting,Just Chatting,Korean,Korean
gongparipa,2chamcham2,28.0,Directed,Just Chatting,League of Legends,Korean,Korean
gongparipa,ao_o5,12.0,Directed,Just Chatting,Just Chatting,Korean,Korean
gongparipa,bgirl_0,15.0,Directed,Just Chatting,Just Chatting,Korean,Korean
gongparipa,h920103,11.0,Directed,Just Chatting,LOST ARK,Korean,Korean
gongparipa,jaewon4915,18.0,Directed,Just Chatting,Just Chatting,Korean,Korean
gongparipa,obm1025,17.0,Directed,Just Chatting,Just Chatting,Korean,Korean
gongparipa,penyo_,23.0,Directed,Just Chatting,Just Chatting,Korean,Japanese
